2026-02-11 12:33:41,622 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:68 | MM file (latest): funSimMax_resnik_pd4may2025exefev2026_11111.parquet
2026-02-11 12:33:41,622 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:75 | SM file (latest): rsd_resnik_pd4may2025exefev2026_32221.parquet
2026-02-11 12:33:41,622 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:84 | Output directory: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341
2026-02-11 12:33:41,622 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:92 | --------------------------------------------------
2026-02-11 12:33:41,622 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:93 | Loading MM matrix...
2026-02-11 12:33:41,649 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:95 | MM shape: (11, 11)
2026-02-11 12:33:41,650 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:96 | Total MM sum: 140.17
2026-02-11 12:33:41,650 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:97 | Min/Max: 0.0000 / 2.9318
2026-02-11 12:33:41,650 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:99 | Loading MP scores (patients-RDs)...
2026-02-11 12:33:41,652 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:101 | SM shape: (33, 3)
2026-02-11 12:33:41,652 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:102 | SM unique patients: 3
2026-02-11 12:33:41,652 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:103 | SM unique RDs: 11
2026-02-11 12:33:41,653 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:107 | Pivot shape: (3, 11)
2026-02-11 12:33:41,653 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:111 | Selected patients: 3
2026-02-11 12:33:41,653 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:113 | Patients: ['P1', 'P2', 'P3']
2026-02-11 12:33:41,654 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:149 | --------------------------------------------------
2026-02-11 12:33:41,655 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:150 | PATIENT: P1
2026-02-11 12:33:41,655 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:151 | Matrix shape: (12, 12)
2026-02-11 12:33:41,655 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:152 | Max patient->RDs score: 4.2562
2026-02-11 12:33:41,655 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:153 | Mean patient->RDs score: 2.6086
2026-02-11 12:33:41,656 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:158 | Saved: P1.parquet
2026-02-11 12:33:41,657 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:149 | --------------------------------------------------
2026-02-11 12:33:41,657 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:150 | PATIENT: P2
2026-02-11 12:33:41,657 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:151 | Matrix shape: (12, 12)
2026-02-11 12:33:41,657 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:152 | Max patient->RDs score: 3.3634
2026-02-11 12:33:41,657 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:153 | Mean patient->RDs score: 2.1266
2026-02-11 12:33:41,658 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:158 | Saved: P2.parquet
2026-02-11 12:33:41,659 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:149 | --------------------------------------------------
2026-02-11 12:33:41,659 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:150 | PATIENT: P3
2026-02-11 12:33:41,659 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:151 | Matrix shape: (12, 12)
2026-02-11 12:33:41,659 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:152 | Max patient->RDs score: 4.3820
2026-02-11 12:33:41,659 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:153 | Mean patient->RDs score: 2.2917
2026-02-11 12:33:41,660 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:158 | Saved: P3.parquet
2026-02-11 12:33:41,661 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:182 | PROVENANCE.yaml saved
2026-02-11 12:33:41,661 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:185 | DONE: 3 patients written, 0 skipped
2026-02-11 12:33:41,661 | INFO | main_add_patients_to_mm | main_add_patients_to_mm.py:186 | Output directory: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341
