2026-02-11 12:32:43,032 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:100985 type is Disease found in child_id
2026-02-11 12:32:43,034 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:100985 type is Disease found in child_id
2026-02-11 12:32:43,036 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:100985 type is Disease found in child_id
2026-02-11 12:32:43,037 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:100985 type is Disease found in child_id
2026-02-11 12:32:43,039 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:100985 type is Disease found in child_id
2026-02-11 12:32:43,041 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:35689 type is Disease found in child_id
2026-02-11 12:32:43,042 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:35689 type is Disease found in child_id
2026-02-11 12:32:43,044 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:35689 type is Disease found in child_id
2026-02-11 12:32:43,046 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:35689 type is Disease found in child_id
2026-02-11 12:32:43,048 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:35689 type is Disease found in child_id
2026-02-11 12:32:43,050 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,051 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,053 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,054 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,056 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,058 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,059 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,061 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,063 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,064 | INFO | main_create_patient | main_create_patient.py:95 | ORPHA:610 type is Disease found in child_id
2026-02-11 12:32:43,098 | INFO | main_create_patient | main_create_patient.py:102 | Saved patients to /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_solved/patients.xlsx
