2026-02-10 17:00:41,964 | INFO | main_load_data | main_load_data.py:35 | [BUILD] en_product4.xml => all_enpd_mai_2025.json
2026-02-10 17:00:52,142 | INFO | main_load_data | main_load_data.py:35 | [BUILD] en_product6.xml => en_product6.json
2026-02-10 17:00:54,632 | INFO | main_load_data | main_load_data.py:35 | [BUILD] en_product1.xml => en_product1.json
2026-02-10 17:00:59,339 | INFO | main_load_data | main_load_data.py:35 | [BUILD] en_product7.xml => en_product7.json
2026-02-10 17:01:00,956 | INFO | main_load_data | main_load_data.py:194 | Create YAML for snakefile (mp/mm)
2026-02-10 17:01:01,047 | INFO | main_load_data | main_load_data.py:200 | YAML saved → /home/maroua/Bureau/OrphaScape_SimWalk/output/pd_orphanet/config_from_product4.yaml
2026-02-10 17:01:01,084 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_146_rare_cardiac_diseases_en_2024.xlsx
2026-02-10 17:01:01,880 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_147_rare_developmental_anomalies_during_embryogenesis_en_2024.xlsx
2026-02-10 17:01:01,920 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_148_rare_cardiac_malformations_en_2024.xlsx
2026-02-10 17:01:02,067 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_150_rare_inborn_errors_of_metabolism_en_2024.xlsx
2026-02-10 17:01:02,105 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_152_rare_gastroenterological_diseases_en_2024.xlsx
2026-02-10 17:01:04,258 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_156_rare_genetic_diseases_en_2024.xlsx
2026-02-10 17:01:04,927 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_181_rare_neurological_diseases_en_2024.xlsx
2026-02-10 17:01:04,962 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_182_rare_abdominal_surgical_diseases_en_2024.xlsx
2026-02-10 17:01:04,991 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_183_rare_hepatic_diseases_en_2024.xlsx
2026-02-10 17:01:05,033 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_184_rare_respiratory_diseases_en_2024.xlsx
2026-02-10 17:01:05,067 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_185_rare_urogenital_diseases_en_2024.xlsx
2026-02-10 17:01:05,083 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_186_rare_surgical_thoracic_diseases_en_2024.xlsx
2026-02-10 17:01:05,259 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_187_rare_skin_diseases_en_2024.xlsx
2026-02-10 17:01:05,327 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_188_rare_renal_diseases_en_2024.xlsx
2026-02-10 17:01:05,524 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_189_rare_ophthalmic_diseases_en_2024.xlsx
2026-02-10 17:01:05,633 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_193_rare_endocrine_diseases_en_2024.xlsx
2026-02-10 17:01:05,714 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_194_rare_hematological_diseases_en_2024.xlsx
2026-02-10 17:01:05,760 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_195_rare_immunological_diseases_en_2024.xlsx
2026-02-10 17:01:05,809 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_196_rare_systemic_and_rheumatological_diseases_en_2024.xlsx
2026-02-10 17:01:05,828 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_197_rare_odontological_diseases_en_2024.xlsx
2026-02-10 17:01:05,888 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_198_rare_circulatory_system_diseases_en_2024.xlsx
2026-02-10 17:01:06,024 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_199_rare_bone_diseases_en_2024.xlsx
2026-02-10 17:01:06,087 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_200_rare_otorhinolaryngological_diseases_en_2024.xlsx
2026-02-10 17:01:06,114 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_201_rare_infertility_disorders_en_2024.xlsx
2026-02-10 17:01:06,276 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_202_rare_neoplastic_diseases_en_2024.xlsx
2026-02-10 17:01:06,305 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_203_rare_infectious_diseases_en_2024.xlsx
2026-02-10 17:01:06,317 | INFO | main_load_data | main_load_data.py:81 | [CLASSIF] ORPHAclassification_204_rare_diseases_due_to_toxic_effects_en_2024.xlsx
