2026-02-10 17:03:44,738 | INFO | main_sm | main_sm.py:62 | vector_str='11111' -> weights=[1.0, 1.0, 1.0, 1.0, 1.0]
2026-02-10 17:03:44,766 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/1_ORPHA-100985.parquet
2026-02-10 17:03:44,776 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/2_ORPHA-100991.parquet
2026-02-10 17:03:44,846 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/3_ORPHA-1465.parquet
2026-02-10 17:03:44,851 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/4_ORPHA-329284.parquet
2026-02-10 17:03:44,864 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/5_ORPHA-34516.parquet
2026-02-10 17:03:44,880 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/6_ORPHA-35689.parquet
2026-02-10 17:03:44,882 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/7_ORPHA-412057.parquet
2026-02-10 17:03:44,937 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/8_ORPHA-610.parquet
2026-02-10 17:03:44,961 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/9_ORPHA-663.parquet
2026-02-10 17:03:44,975 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/10_ORPHA-79445.parquet
2026-02-10 17:03:45,002 | INFO | main_sm | sim_measure_cal.py:431 | Exported SM to /home/maroua/Bureau/OrphaScape_SimWalk/output/mm_sm/funSimMax/resnik/pd4_may_2025_exefev2026/11111/11_ORPHA-99949.parquet
2026-02-10 17:03:59,094 | INFO | main_sm | main_sm.py:97 | Filtered patients: 2 IDs
2026-02-10 17:03:59,094 | INFO | main_sm | main_sm.py:99 | [MP] Patients after filter: 2 uniques
